gb_id;title;subtitle;authors;publisher;pub_date;language;categories;isbn13;isbn10;price_amount;price_currency
EZAtAAAAQBAJ;Data Science for Business;What You Need to Know about Data Mining and Data-Analytic Thinking;Foster Provost | Tom Fawcett;"""O'Reilly Media, Inc.""";2013-07-27;en;Business & Economics;9781449374297;1449374298;;
CfjpAQAAQBAJ;Data Smart;Using Data Science to Transform Information into Insight;John W. Foreman;John Wiley & Sons;2013-10-31;en;Business & Economics;9781118839867;1118839862;;
XhKSDwAAQBAJ;Data Science from Scratch;First Principles with Python;Joel Grus;"""O'Reilly Media, Inc.""";2019-04-12;en;Computers;9781492041085;1492041084;39.51;EUR
uDvwEAAAQBAJ;Mindmasters;The Data-Driven Science of Predicting and Changing Human Behavior;Sandra Matz;Harvard Business Press;2025-01-07;en;Psychology;9781647826321;1647826322;30.99;EUR
I6y3DQAAQBAJ;R for Data Science;Import, Tidy, Transform, Visualize, and Model Data;Hadley Wickham | Garrett Grolemund;"""O'Reilly Media, Inc.""";2016-12-12;en;Computers;9781491910344;1491910348;;
ycNKAQAAQBAJ;Doing Data Science;Straight Talk from the Frontline;Cathy O'Neil | Rachel Schutt;"""O'Reilly Media, Inc.""";2013-10-09;en;Computers;9781449363901;1449363903;;
T2LeAQAACAAJ;Numsense! Data Science for the Layman;No Math Added;Annalyn Ng;Annalyn Ng & Kenneth Soo;2017-03-24;en;;9789811110689;9811110689;;
rimgEAAAQBAJ;Python Data Science Handbook;;Jake VanderPlas;"""O'Reilly Media, Inc.""";2022-12-06;en;Computers;9781098121198;1098121198;;
UlpVDwAAQBAJ;Data Science;;John D. Kelleher | Brendan Tierney;MIT Press;2018-04-13;en;Computers;9780262347037;0262347032;15.38;EUR
KCUqEAAAQBAJ;Becoming a Data Head;How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning;Alex J. Gutman | Jordan Goldmeier;John Wiley & Sons;2021-04-13;en;Business & Economics;9781119741718;1119741718;27.99;EUR
FTsxEQAAQBAJ;Data Science Essentials For Dummies;;Lillian Pierson;John Wiley & Sons;2024-11-13;en;Computers;9781394297016;1394297017;10.99;EUR
ZDH9DAEACAAJ;The Art of Data Science;;Roger D. Peng | Elizabeth Matsui;;2016-06-08;en;Business & Economics;9781365061462;1365061469;;
-OQ2q5JqOdEC;What Is Data Science?;;Mike Loukides;"""O'Reilly Media, Inc.""";2011-04-10;en;Computers;9781449336097;1449336094;0;EUR
pyw1EAAAQBAJ;Minding the Machines;Building and Leading Data Science and Analytics Teams;Jeremy Adamson;John Wiley & Sons;2021-06-25;en;Computers;9781119785330;1119785332;25.99;EUR
wZHe0t4ZgWoC;Building Data Science Teams;;DJ Patil;"""O'Reilly Media, Inc.""";2011-09-15;en;Computers;9781449316778;1449316778;0;EUR
H9QkzgEACAAJ;Machine Learning;2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications;Samuel Hack;;2021-01-07;en;Computers;9781801146715;1801146713;;
xDszEAAAQBAJ;Build a Career in Data Science;;Emily Robinson | Jacqueline Nolis;Simon and Schuster;2020-03-06;en;Computers;9781638350156;1638350159;32.42;EUR
i0tGzwEACAAJ;Essential Math for Data Science;;Hadrien Jean;;2020;en;;;;;
Ms_8EAAAQBAJ;Ethics and Data Science;;Mike Loukides | Hilary Mason | DJ Patil;"""O'Reilly Media, Inc.""";2018-07-25;en;Computers;9781492078210;1492078212;0;EUR
yPOUDwAAQBAJ;Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions;;Matt Taddy;McGraw Hill Professional;2019-08-23;en;Business & Economics;9781260452785;1260452786;35.03;EUR
__DzDQAAQBAJ;Dynamic Mode Decomposition;Data-Driven Modeling of Complex Systems;J. Nathan Kutz | Steven L. Brunton | Bingni W. Brunton | Joshua L. Proctor;SIAM;2016-11-23;en;Science;9781611974508;161197450X;65.46;EUR
1FPHBgAAQBAJ;Humanizing Big Data;Marketing at the Meeting of Data, Social Science and Consumer Insight;Colin Strong;Kogan Page Publishers;2015-03-03;en;Business & Economics;9780749472122;074947212X;;
GSePDAEACAAJ;R Programming for Data Science;;Roger D. Peng;;2012-04-19;en;R (Computer program language);9781365056826;1365056821;;
ynCOzQEACAAJ;Statistics for the Trading Floor;Data Science for Investing;Patrick Boyle;;2020-05-14;en;;9798644826551;;;
rHIqDwAAQBAJ;The Data Science Design Manual;;Steven S. Skiena;Springer;2017-07-01;en;Computers;9783319554440;3319554441;62.39;EUR
tTgzEAAAQBAJ;Think Like a Data Scientist;Tackle the data science process step-by-step;Brian Godsey;Simon and Schuster;2017-03-09;en;Computers;9781638355205;1638355207;39.13;EUR
